time, x_accel, z_accel, left_enc, right_enc
5978968, 727, 46, 4, 6
5980924, 732, 45, 4, 6
5982880, 737, 46, 4, 6
5984836, 741, 45, 4, 6
5986788, 746, 44, 4, 6
5988744, 751, 42, 4, 6
5990700, 755, 43, 4, 6
5992652, 760, 44, 4, 6
5994608, 763, 43, 4, 6
5996568, 768, 42, 4, 6
5998520, 774, 42, 4, 6
6000472, 777, 39, 4, 6
6002428, 780, 38, 4, 6
6004384, 784, 37, 4, 6
6006340, 788, 37, 4, 6
6008292, 793, 38, 4, 6
6010248, 796, 36, 4, 6
6012204, 800, 35, 4, 6
6014160, 804, 37, 4, 6
